Time;Temperature;Strain;Stress;Relaxation Modulus;Creep Compliance;Stiffness
1,74;28,88;90,73;0,09218;0,1016;9842830;107,8
1,76;28,9;91,28;0,09308;0,102;9806940;108,1
1,78;28,91;91,87;0,09398;0,1023;9776040;108,5
1,79;28,91;92,46;0,09487;0,1026;9745560;108,8
1,81;28,92;93,02;0,09577;0,103;9712260;109,2
1,83;28,94;93,53;0,09667;0,1034;9674950;109,6
1,84;28,93;94,01;0,09757;0,1038;9635640;110,1
1,86;28,91;94,46;0,09847;0,1042;9593270;110,6
1,88;28,89;94,9;0,09936;0,1047;9550300;111,1
1,89;28,89;95,34;0,1003;0,1052;9508870;111,5
1,91;28,91;95,79;0,1012;0,1056;9468740;112
1,93;28,9;96,25;0,1021;0,106;9430760;112,5
1,94;28,9;96,65;0,103;0,1065;9387540;113
1,96;28,89;97,06;0,1039;0,107;9345440;113,5
1,98;28,88;97,44;0,1048;0,1075;9302100;114
1,99;28,86;97,83;0,1056;0,108;9259400;114,5
2,01;28,86;98,2;0,1065;0,1085;9216950;115,1
2,03;28,85;98,58;0,1074;0,109;9174720;115,6
2,04;28,85;98,95;0,1083;0,1095;9133350;116,1
2,06;28,83;99,34;0,1092;0,11;9093740;116,6
2,08;28,84;99,72;0,1101;0,1104;9054120;117,1
